#cablenum, average light yield [p.e.], # of events over 10 p.e.
1, 83.6535, 44
2, 56.656, 56
3, 58.141, 45
4, 56.866, 59
5, 68.8698, 53
6, 51.8837, 48
7, 46.89, 34
8, 44.6779, 35
9, 66.9304, 53
10, 53.0868, 49
11, 61.148, 50
12, 58.444, 44
13, 68.9707, 42
14, 57.7749, 55
15, 54.4714, 49
16, 56.1084, 44
17, 41.9123, 38
18, 59.4003, 34
19, 62.2161, 40
20, 38.3323, 40
21, 51.5763, 34
22, 46.1291, 45
23, 51.7657, 44
24, 42.7744, 44
25, 43.2088, 29
26, 41.2939, 54
27, 52.8452, 47
28, 69.3372, 61
29, 58.4595, 47
30, 55.7181, 47
31, 55.3117, 41
32, 60.5264, 50
33, 50.4027, 54
34, 61.365, 53
35, 57.5432, 43
36, 55.112, 43
37, 55.9969, 48
38, 60.9505, 44
39, 37.7013, 50
40, 57.6228, 41
41, 61.7709, 49
42, 78.597, 57
43, 57.8957, 44
44, 50.6983, 33
45, 59.9167, 44
46, 67.9268, 53
47, 65.7514, 52
48, 37.462, 45
49, 60.4821, 40
50, 46.5178, 43
51, 49.3035, 43
52, 55.8099, 51
53, 48.4252, 43
54, 53.4723, 45
55, 60.4303, 42
56, 70.9472, 56
57, 56.383, 32
58, 51.954, 33
59, 58.1701, 36
60, 67.2683, 34
61, 40.4027, 45
62, 59.8634, 39
63, 51.4279, 43
64, 42.9426, 40
65, 53.8635, 43
66, 60.0651, 43
67, 42.8679, 42
68, 53.673, 40
69, 54.595, 50
70, 70.1708, 57
71, 47.595, 47
72, 41.9617, 41
73, 53.6617, 57
74, 63.6636, 54
75, 56.924, 49
76, 52.7797, 54
77, 54.0001, 49
78, 60.6301, 47
79, 58.5637, 42
80, 51.4639, 40
81, 56.9723, 45
82, 45.255, 54
83, 63.4425, 58
84, 74.3913, 59
85, 45.4913, 39
86, 48.9868, 43
87, 65.4986, 45
88, 50.9411, 56
89, 69.9678, 55
90, 53.0918, 40
91, 43.4844, 42
92, 60.2904, 32
93, 44.9012, 44
94, 59.9727, 52
95, 57.4601, 42
96, 50.0766, 50
97, 63.8129, 53
98, 83.4814, 69
99, 43.8928, 40
100, 54.8247, 38
101, 50.8329, 33
102, 75.9585, 40
103, 50.7678, 39
104, 46.944, 48
105, 57.6968, 43
106, 46.8797, 49
107, 62.146, 46
108, 56.0077, 46
109, 65.7003, 34
110, 62.2416, 32
111, 82.0105, 39
112, 47.5833, 31
113, 45.1844, 40
114, 54.7498, 44
115, 61.3507, 42
116, 53.9173, 31
117, 48.7024, 34
118, 66.0579, 33
119, 47.2765, 36
120, 54.292, 44
121, 68.1313, 41
122, 46.5449, 31
123, 52.6975, 32
124, 66.0271, 54
125, 42.6683, 46
126, 39.8458, 34
127, 46.2282, 47
128, 51.0446, 49
129, 53.9374, 52
130, 54.0799, 44
131, 54.1683, 37
132, 62.03, 41
133, 50.6852, 40
134, 40.8033, 39
135, 52.5489, 32
136, 57.0033, 30
137, 56.4619, 36
138, 60.7737, 45
139, 41.7087, 42
140, 51.9415, 34
201, 45.2801, 40
202, 51.1981, 54
203, 54.0775, 57
204, 42.892, 49
205, 51.7233, 43
206, 50.4107, 46
207, 36.6771, 47
208, 45.4227, 44
209, 47.5158, 43
210, 52.5886, 43
211, 38.6741, 49
212, 53.7187, 43
213, 55.132, 41
214, 52.6112, 36
215, 49.3567, 41
216, 44.6, 50
217, 44.387, 48
218, 41.2651, 45
219, 48.1804, 49
220, 51.2263, 56
221, 49.0415, 53
222, 52.732, 50
223, 54.6436, 44
224, 51.0932, 41
225, 50.7313, 42
226, 47.7015, 64
227, 62.0455, 57
228, 64.1368, 52
229, 47.7046, 52
230, 54.4055, 49
231, 49.8183, 54
232, 46.435, 47
233, 59.1733, 37
234, 46.7154, 47
235, 37.3373, 38
236, 46.9238, 42
237, 53.3696, 46
238, 46.9988, 49
239, 46.7295, 55
240, 60.2308, 71
241, 50.7231, 43
242, 48.3965, 37
243, 42.5422, 39
244, 51.353, 39
245, 44.5295, 42
246, 54.5268, 43
247, 57.1248, 38
248, 48.9064, 38
249, 39.3849, 36
250, 48.3387, 30
251, 37.4084, 42
252, 54.9583, 40
253, 42.1235, 47
254, 75.7001, 56
255, 54.5699, 36
256, 46.3298, 28
257, 47.4761, 34
258, 48.1451, 44
259, 51.4723, 58
260, 58.1955, 60
261, 0, 0
262, 54.0765, 37
263, 0, 0
264, 0, 0
265, 0, 0
266, 52.9544, 38
267, 66.22, 50
268, 36.2975, 39
269, 69.1048, 34
270, 49.9117, 43
271, 64.5612, 50
272, 47.3618, 33
273, 42.0801, 36
274, 57.2121, 38
275, 56.8492, 43
276, 42.5336, 29
277, 52.7491, 29
278, 49.3646, 37
279, 54.218, 42
280, 49.5541, 65
281, 41.6628, 65
282, 51.742, 59
283, 47.5917, 53
284, 55.3732, 53
285, 50.9494, 48
286, 43.0805, 50
287, 49.1623, 38
288, 43.9758, 40
289, 56.113, 44
290, 45.4526, 48
291, 56.8044, 43
292, 57.3256, 43
293, 57.9022, 44
294, 71.3088, 56
295, 48.4577, 37
296, 36.7216, 29
297, 57.8611, 35
298, 54.3581, 38
299, 47.5747, 25
300, 46.5096, 27
301, 48.6209, 31
302, 57.0414, 33
303, 41.9355, 36
304, 49.4015, 44
305, 58.0551, 35
306, 32.3312, 37
307, 74.3218, 48
308, 59.3251, 39
309, 59.1003, 45
310, 51.0214, 50
311, 49.393, 39
312, 48.5318, 34
313, 48.5498, 34
314, 50.553, 36
315, 53.2944, 45
316, 53.2191, 42
317, 52.8437, 45
318, 50.1501, 42
319, 51.8571, 43
320, 59.2297, 43
321, 66.7181, 42
322, 36.2439, 33
323, 52.6006, 38
324, 48.105, 49
325, 57.3892, 46
326, 45.6051, 46
327, 63.1804, 52
328, 45.4777, 43
329, 43.2593, 40
330, 46.8337, 33
331, 48.0917, 31
332, 64.8548, 23
