#time, unixtime, spillnum, POT
2025/11/29/22:42, 1764423728, 6398016, 201123154498855.2
2025/11/29/22:42, 1764423729, 6398017, 200897749726875.1
2025/11/29/22:42, 1764423730, 6398018, 200330277669594.5
2025/11/29/22:42, 1764423732, 6398019, 200853569153222.4
2025/11/29/22:42, 1764423733, 6398020, 201079851086956
2025/11/29/22:42, 1764423734, 6398021, 201283881490895.8
2025/11/29/22:42, 1764423736, 6398022, 200897117654435.6
2025/11/29/22:42, 1764423737, 6398023, 201330267868371.6
2025/11/29/22:42, 1764423739, 6398024, 201274580996411.2
2025/11/29/22:42, 1764423740, 6398025, 200994379413661.8
2025/11/29/22:42, 1764423741, 6398026, 201290576298990
2025/11/29/22:42, 1764423743, 6398027, 200807569758870.6
2025/11/29/22:42, 1764423744, 6398028, 200837651247270.1
2025/11/29/22:42, 1764423745, 6398029, 201532840635866.2
2025/11/29/22:42, 1764423747, 6398030, 201629392926025.6
2025/11/29/22:42, 1764423748, 6398031, 200796076360001.9
2025/11/29/22:42, 1764423749, 6398032, 200900897189640.6
2025/11/29/22:42, 1764423751, 6398033, 201008878381483.9
2025/11/29/22:42, 1764423752, 6398034, 200650661000351.6
2025/11/29/22:42, 1764423753, 6398035, 200626010175169.8
2025/11/29/22:42, 1764423755, 6398036, 200488386075806.7
2025/11/29/22:42, 1764423756, 6398037, 200468043662768.3
2025/11/29/22:42, 1764423758, 6398038, 200334108802549
2025/11/29/22:42, 1764423759, 6398039, 201050543564813.5
2025/11/29/22:42, 1764423760, 6398040, 200708502078385.2
2025/11/29/22:42, 1764423762, 6398041, 201187806479924.8
2025/11/29/22:42, 1764423763, 6398042, 200745575061941.4
2025/11/29/22:42, 1764423764, 6398043, 200371465573733.8
2025/11/29/22:42, 1764423766, 6398044, 201036225189118.1
2025/11/29/22:42, 1764423767, 6398045, 200115605229666.7
2025/11/29/22:42, 1764423768, 6398046, 200662347890784.3
2025/11/29/22:42, 1764423770, 6398047, 200357069801411.3
2025/11/29/22:42, 1764423771, 6398048, 200299512511006.4
2025/11/29/22:42, 1764423773, 6398049, 200513914062743.1
2025/11/29/22:42, 1764423774, 6398050, 200649693542533.6
2025/11/29/22:42, 1764423775, 6398051, 201189805892744.8
2025/11/29/22:42, 1764423777, 6398052, 200570839280711.2
2025/11/29/22:42, 1764423778, 6398053, 200877252520588.9
2025/11/29/22:42, 1764423779, 6398054, 200557346469019.4
2025/11/29/22:43, 1764423781, 6398055, 200786556575081.7
2025/11/29/22:43, 1764423782, 6398056, 200912248694697
2025/11/29/22:43, 1764423783, 6398057, 201168289630891
2025/11/29/22:43, 1764423785, 6398058, 200915060772086.3
2025/11/29/22:43, 1764423786, 6398059, 200930269208972.4
2025/11/29/22:43, 1764423787, 6398060, 200921768479618.2
2025/11/29/22:43, 1764423789, 6398061, 200550677459798.1
2025/11/29/22:43, 1764423790, 6398062, 200999036110622.4
2025/11/29/22:43, 1764423792, 6398063, 200561100205349.2
2025/11/29/22:43, 1764423793, 6398064, 200757481242813
2025/11/29/22:43, 1764423794, 6398065, 200815567410159.7
2025/11/29/22:43, 1764423796, 6398066, 200691836005053.4
2025/11/29/22:43, 1764423797, 6398067, 201096517160287.5
2025/11/29/22:43, 1764423798, 6398068, 200949231382191.1
2025/11/29/22:43, 1764423800, 6398069, 200516235961504.6
2025/11/29/22:43, 1764423801, 6398070, 200671712882455.2
2025/11/29/22:43, 1764423802, 6398071, 200807982540874.3
2025/11/29/22:43, 1764423804, 6398072, 200841688771225.7
2025/11/29/22:43, 1764423805, 6398073, 200772509087575.2
2025/11/29/22:43, 1764423807, 6398074, 200948689605813.7
2025/11/29/22:43, 1764423808, 6398075, 201055909730838
2025/11/29/22:43, 1764423809, 6398076, 200538551988490.2
2025/11/29/22:43, 1764423811, 6398077, 200724871464654
2025/11/29/22:43, 1764423812, 6398078, 200822713698569.5
2025/11/29/22:43, 1764423813, 6398079, 201052181793383.7
2025/11/29/22:43, 1764423815, 6398080, 201385142075766.4
2025/11/29/22:43, 1764423816, 6398081, 200335385846867.9
2025/11/29/22:43, 1764423817, 6398082, 200115837419542.8
2025/11/29/22:43, 1764423819, 6398083, 200305226961845
2025/11/29/22:43, 1764423820, 6398084, 200775463058776.1
2025/11/29/22:43, 1764423821, 6398085, 200513011102113.9
2025/11/29/22:43, 1764423823, 6398086, 201080070377394.5
