#time pot_increment
1768540062 742980481628.5786
1768540353 754381604002.3685
1768541016 755744065803.568
1768541638 748779429366.0605
1768541995 751626780585.8267
1768542546 750245732413.6797
1768542912 753624007360.2454
1768543251 745946219950.2861
1768543408 746239157318.5697
1768543626 741146895728.8586
1768543804 762063835979.2943
1768543915 747612932562.9622
1768544185 744070208638.6073
1768544563 742260057728.3544
1768544682 741624080600.5107
1768544924 736920516594.656
1768545481 743371603521.6858
1768545620 741472561272.0923
1768545826 744104148968.179
1768545989 748164058866.8883
1768546107 752621151431.8363
1768546237 750050171467.1246
1768546436 737082137211.6392
1768546541 753263593384.363
1768546789 744733661271.3416
1768546953 752562563958.1825
1768547040 749634806481.4639
1768547145 738730263453.3662
1768547297 743663328735.3417
1768547501 752897118635.3467
1768547621 750745544171.7104
1768547739 748480431224.6357
1768547865 739016331945.4294
1768547988 744635072694.9789
1768548193 746681593757.5726
1768548311 745134076349.9275
1768548493 748350326627.9641
1768548605 755109300830.35
1768548718 744100108452.7511
1768548837 743786160404.2587
1768549065 738811881864.9399
1768549173 741048711204.0404
1768549762 754518577475.2622
1768549907 758517475591.0616
1768550003 742052779287.0691
1768550287 758851626216.6821
1768550765 746153498391.5679
1768551005 754485445248.7819
1768551156 750484526875.2769
1768551341 743698481219.5366
1768551430 748271536577.1782
1768551513 749520459894.9462
1768551655 750472809380.5398
1768551836 751288993496.3232
1768551956 752607817730.9373
1768552344 751074846178.8167
1768552435 756041447738.8258
1768552553 757370777313.5392
1768552672 752251444270.4827
1768552775 749246917000.6937
1768552837 757301280448.2373
1768552878 743704541992.6736
1768552932 755680225659.8547
1768552981 755347691240.4082
1768553148 747983851878.944
1768553184 753669261133.0002
1768553282 744594263489.1924
1768553405 736615053628.5515
1768553481 754683026453.0466
1768553688 756154178119.175
1768553849 751543141916.5341
1768553851 749126509641.0409
1768553852 756727931309.4792
1768553853 743584538684.564
1768553854 751918505799.4875
1768553856 745038316134.3625
1768553857 754653934741.9939
1768553858 750846153005.7854
1768553860 747818998849.6201
1768553861 749727334284.6931
1768553862 758062513554.2407
1768553863 764662291448.9031
1768553865 745295696966.9141
1768553866 751739510966.1743
1768553867 750425131298.5337
1768553869 754844647070.0339
1768553870 756016396543.1949
1768553871 761533316304.04
1768553872 749295807237.3328
1768553874 753486629835.8025
1768553875 754617974154.7087
1768553876 743142102245.5603
1768553877 757952207483.1488
1768553879 748539826801.3772
1768553880 746227035772.2986
1768553881 758165546697.5718
1768553883 750967368468.5205
1768553884 745692071530.0754
1768553885 750958479334.5874
1768553886 758258882603.8853
1768553921 756468126167.6721
1768553940 755702044443.1478
1768553941 753557338855.7363
1768553943 744136069040.0342
1768553944 754798181142.6511
1768553945 739540790847.5515
1768553947 756875410122.4745
1768553948 747166051556.994
1768553949 745953492878.0454
1768553950 756913795019.0066
1768553952 745236705441.709
1768553953 741513774529.4169
1768553954 751983558097.8284
1768553956 752222756610.9653
1768553957 747001198527.6652
1768553958 749689353439.7015
1768553959 752937119738.0463
1768553961 759853269990.4564
1768553962 738485004167.087
1768553963 762786684188.7686
1768553965 742140458471.788
1768553966 750271591712.394
1768553967 747524041223.6162
1768553968 750278864640.1562
1768553970 754652722587.3665
1768553971 740260002593.1409
1768553972 753400162805.7141
1768553973 749829559324.9371
1768553975 745649646118.1113
1768553976 751499908401.4927
1768553977 761796353858.1814
1768554023 746246834297.8813
1768554046 745267413358.9412
1768554048 746939782693.2123
1768554049 746088446093.2346
1768554050 755207485355.1742
1768554052 748934181106.8303
1768554053 751617487400.355
1768554054 743677470539.3335
1768554055 748238808402.2441
1768554057 760530460375.6372
1768554058 753939975666.451
1768554059 749443690101.877
1768554061 753007424706.442
1768554062 750021887859.1501
1768554063 753070860798.6045
1768554064 747279994091.9689
1768554066 749728142387.7776
1768554067 752090631756.5835
1768554068 746694119355.3921
1768554069 744904575073.8075
1768554071 756869349349.3352
1768554072 760410053015.9763
1768554073 747147869237.5847
1768554075 750572206059.9868
1768554076 754963034171.9816
1768554077 747370501637.4832
1768554078 746922408476.8826
1768554080 742269350913.8345
1768554081 754531103073.0839
1768554082 753832902007.6987
1768554084 748472754245.3282
1768554122 754191699777.4119
1768554149 749224290114.3225
1768554150 760555107519.72
1768554151 750696249883.5266
1768554153 750432000174.7537
1768554154 741903280216.3608
1768554155 753364606269.9761
1768554157 741995403968.0374
1768554158 742889165979.98
1768554159 754686258865.3909
1768554160 749333788082.3247
1768554162 763184270906.5596
1768554163 746219358792.9941
1768554164 754078161293.9766
1768554165 749970169261.7158
1768554167 759252041295.2649
1768554168 743067756761.7462
1768554169 746479972037.8859
1768554171 752826813666.9534
1768554172 751883757366.8385
1768554173 750222701475.7589
1768554174 751813856449.9873
1768554176 742526731746.3856
1768554177 748768924025.9604
1768554178 743146546812.5273
1768554180 761045626092.2765
1768554181 746798768704.8885
1768554182 757258855036.2751
1768554183 754580801412.804
1768554185 752561351803.5533
1768554186 752381548867.1599
1768554264 741751356836.3914
1768554287 753229653054.7979
1768554288 750046939054.7839
1768554290 760450862221.7645
1768554291 743234225997.243
1768554292 738209845066.6641
1768554293 754878587399.6021
1768554295 753154095416.3567
1768554296 747877586323.2797
1768554297 746877154704.1245
1768554299 754188063313.5288
1768554300 744883968445.1401
1768554301 743068564864.8357
1768554302 745548633232.4987
1768554304 751505161071.543
1768554305 752770650502.5516
1768554306 744963162547.4639
1768554308 751288185393.2441
1768554309 748717205428.5215
1768554310 744273850616.0114
1768554311 753796941420.4194
1768554313 752413468939.0122
1768554314 754996974501.5465
1768554315 751432027742.3569
1768554317 758490000086.178
1768554318 750065525425.7379
1768554319 747476363141.6077
1768554320 749432376658.6897
1768554322 754775958307.8188
1768554323 742652795827.6323
1768554324 738787234720.8503
1768554410 757614016342.1084
1768554427 741998232328.8379
1768554428 756280242200.4207
1768554429 744262133121.2775
1768554430 744746186869.1544
1768554432 754109677314.2871
1768554433 756062054367.4861
1768554434 747810917818.7671
1768554436 747566062584.0322
1768554437 754386856672.4216
1768554438 753423597795.1819
1768554439 748101430877.8018
1768554441 750804939748.4529
1768554442 752489430628.999
1768554443 749703495243.6892
1768554445 744845179497.0627
1768554446 745825812590.627
1768554447 753962198501.2861
1768554448 746608864479.9309
1768554450 760844408424.1339
1768554451 753475316392.6128
1768554452 758705359558.307
1768554453 747754754654.3706
1768554455 748219413928.2069
1768554456 757972006008.7283
1768554457 750322906258.2883
1768554459 741602665868.765
1768554460 751083331261.2097
1768554461 758632226229.1235
1768554462 746319563575.5271
1768554464 750830799047.1663
1768554497 745571260118.8732
1768554523 751820321274.6718
1768554524 744984173227.6682
1768554525 756314586581.5354
1768554526 757603106950.4623
1768554528 760727637528.355
1768554529 755098795490.2504
1768554530 745549845387.1213
1768554532 760104994101.4182
1768554533 752375084042.4744
1768554534 758398684437.5781
1768554535 750391595020.5037
1768554537 744902150764.5513
1768554538 747916375271.3516
1768554539 751971436551.5518
1768554541 752809843502.1685
1768554542 746679977551.4004
1768554543 748478815018.4697
1768554544 748413358668.592
1768554546 747092918227.8038
1768554547 752091439859.6624
1768554548 755777198030.0488
1768554549 756289939437.4435
1768554551 743031392122.9301
1768554552 752198513518.4224
1768554553 746961197424.9646
1768554555 749038426404.7844
1768554556 758696066372.8325
1768554557 752159320518.8008
1768554558 741704486857.4664
1768554560 764705929015.4922
1768554629 753391677723.3264
1768554647 751387178021.1456
1768554648 751572637679.1387
1768554649 751512433999.3091
1768554651 752784792306.5386
1768554652 751659104709.2273
1768554653 755556989939.4038
1768554654 743200689719.2224
1768554656 762831533909.9858
1768554657 755919020121.4583
1768554658 749164086434.4941
1768554660 749650160440.0824
1768554661 753367434630.7749
1768554662 752700749585.7083
1768554663 751003329055.8011
1768554665 738453488146.7722
1768554666 747260599617.9302
1768554667 748351134731.0449
1768554669 758496868962.3947
1768554670 749080851816.7397
1768554671 751952042077.5125
1768554672 739178760665.5029
1768554674 745765608910.8046
1768554675 746108648670.3584
1768554676 747149081392.2123
1768554677 758603134518.0615
1768554679 757516639920.3698
1768554680 757333200520.0894
1768554681 749296211288.8799
1768554683 750743119862.4509
1768554684 751564960699.8276
1768554741 761475132881.921
1768554837 748616596594.4489
1768554955 755912151245.2352
1768554957 752183159559.8086
1768554958 752129824756.2
1768554959 748443662534.2727
1768554960 756652373671.0369
1768554962 769877384707.5223
1768554963 747579800336.4797
1768554964 756725102948.6785
1768554965 758372421087.3127
1768554967 739552104290.7411
1768554968 747246457813.9443
1768554969 748660234161.0332
1768554971 745815711302.0651
1768554972 755704064700.8656
1768554973 743439080129.272
1768554974 750963732004.6436
1768554976 757695634753.6825
1768554977 746931701662.3633
1768554978 743284328388.5107
1768554980 750391190968.9636
1768554981 754506859980.5339
1768554982 749970169261.7111
1768554983 749639655099.9731
1768554985 764604916129.8733
1768554986 750159669435.1328
1768554987 751354045794.6638
1768554989 751169798291.2954
1768554990 749590360811.7922
1768554991 749336212391.5864
1768554992 750301895578.0808
1768555105 748625889779.9238
1768555123 761593115932.3213
1768555124 741540441931.2268
1768555125 748502250007.9321
1768555127 743235438151.8756
1768555128 764669160325.1216
1768555129 745867025847.957
1768555131 752303970971.0009
1768555132 748400429019.228
1768555133 758203527542.5647
1768555134 742013990338.9967
1768555136 753961794449.7456
1768555137 752452661938.6313
1768555138 750232398712.7728
1768555140 747757987066.7051
1768555141 752039721262.2341
1768555142 750728978058.4669
1768555143 751994063437.9346
1768555145 741840652227.2753
1768555146 751227577661.8749
1768555147 748041631249.5205
1768555149 733655780131.5229
1768555150 741595392941.0021
1768555151 747313126318.4509
1768555152 755520625300.5864
1768555154 764127731258.2217
1768555155 751086563673.5526
1768555156 755806693792.6521
1768555157 752693880709.4861
1768555159 760424194819.9623
1768555160 759876300928.3767
1768555209 745259736379.6362
1768555247 749914410148.8516
1768555248 756163471304.6501
1768555250 761715139498.1472
1768555251 751263538249.1484
1768555252 754942023491.7676
1768555253 752720548111.2847
1768555255 752017902478.9368
1768555256 748613364182.1111
1768555257 755233344653.8936
1768555259 748605687202.8002
1768555260 749770971851.28
1768555261 738344798281.8489
1768555262 748979434879.5818
1768555264 747353127421.1545
1768555265 752749235770.8054
1768555266 754733936947.4036
1768555268 751238083001.9729
1768555269 743827777713.1289
1768555270 750493011957.6697
1768555271 750299471268.8279
1768555273 751065957044.8883
1768555274 761387453697.2061
1768555275 755434562322.0376
1768555277 750315229278.9805
1768555278 748996405044.3689
1768555279 741358618737.1111
1768555280 755691135051.5024
1768555282 740990527781.9214
1768555283 755486684971.0166
1768555284 742517034509.3687
1768555323 762998003145.4761
1768555357 761551902674.9878
1768555358 759452854911.8723
1768555360 752908432078.5369
1768555361 746415323791.0891
1768555362 762930122486.3416
1768555364 748410934359.3328
1768555365 753791284698.8232
1768555366 752371043527.0493
1768555367 746235924906.2351
1768555369 753695928534.8035
1768555370 758235851665.9587
1768555371 759301739634.991
1768555373 749659857677.0967
1768555374 763686911025.3856
1768555375 752500340020.6405
1768555376 749221865805.0635
1768555378 748071531063.6576
1768555379 766863160200.7175
1768555380 750121688590.1377
1768555381 754089474737.1633
1768555383 748928928436.7745
1768555384 754648278020.3984
1768555385 747721218376.3427
1768555387 758704147403.6809
1768555388 751265154455.3214
1768555389 753742394462.1875
1768555390 753209046426.132
1768555392 757460072704.4285
1768555393 751324954083.6029
1768555394 748364064380.408
1768555437 755245870251.7063
1768555457 755912959348.3215
1768555458 745456913532.3555
1768555460 746241581627.8289
1768555461 753046617706.0552
1768555462 741084267739.7781
1768555463 756754598711.2764
1768555465 754495950588.8872
1768555466 745136096607.6343
1768555467 754464838620.1172
1768555469 763254171823.4028
1768555470 746740181231.2302
1768555471 753866034234.1848
1768555472 747448079533.6302
