#run00035_chavg_lightyield.csv is used for reference lightyield
#cablenum, average light yield [p.e.], # of events over 10 p.e.
1, 71.4133, 871
2, 54.2162, 1039
3, 49.472, 928
4, 54.0502, 1083
5, 58.0497, 1018
6, 49.9111, 1091
7, 54.5372, 1012
8, 42.6851, 877
9, 58.4375, 1072
10, 46.0372, 954
11, 47.5705, 1231
12, 52.5644, 1076
13, 54.9145, 1061
14, 62.0664, 1113
15, 46.2904, 932
16, 45.3322, 826
17, 45.7815, 883
18, 49.9288, 938
19, 50.7352, 995
20, 42.2807, 885
21, 45.7844, 893
22, 46.4003, 986
23, 45.7615, 951
24, 52.3103, 1191
25, 44.7863, 917
26, 50.6085, 988
27, 49.372, 990
28, 57.3627, 1256
29, 49.9681, 958
30, 54.7976, 968
31, 50.9841, 982
32, 50.3575, 964
33, 47.5897, 970
34, 55.2057, 1011
35, 48.6146, 877
36, 47.3526, 909
37, 47.1038, 937
38, 56.2364, 986
39, 43.6011, 927
40, 48.6066, 891
41, 55.4412, 999
42, 65.1327, 1021
43, 45.8977, 880
44, 48.3845, 867
45, 49.8979, 855
46, 57.3155, 934
47, 56.3822, 962
48, 46.2878, 800
49, 46.5993, 951
50, 45.5042, 931
51, 47.0219, 897
52, 53.2183, 1003
53, 46.1798, 944
54, 51.3583, 980
55, 52.0719, 939
56, 64.8582, 1316
57, 51.4565, 984
58, 47.916, 902
59, 55.2129, 925
60, 51.94, 883
61, 46.2783, 911
62, 55.3092, 864
63, 47.4553, 840
64, 47.0895, 876
65, 49.9701, 916
66, 50.8036, 910
67, 44.4562, 795
68, 47.0211, 827
69, 49.2848, 908
70, 57.313, 1044
71, 44.4612, 855
72, 41.401, 770
73, 49.3072, 887
74, 53.563, 948
75, 50.6525, 885
76, 54.1788, 905
77, 50.3514, 910
78, 59.0581, 955
79, 51.7239, 888
80, 46.5163, 814
81, 49.4791, 863
82, 48.4084, 909
83, 53.5247, 942
84, 64.3937, 1152
85, 48.7139, 893
86, 53.6789, 985
87, 57.8794, 906
88, 56.3842, 953
89, 55.5788, 1024
90, 45.9713, 936
91, 50.1944, 888
92, 48.1354, 815
93, 40.4318, 769
94, 52.6889, 949
95, 48.9825, 820
96, 53.0832, 810
97, 54.2516, 922
98, 69.9031, 1126
99, 41.7436, 770
100, 55.7356, 949
101, 49.7988, 890
102, 57.7077, 1015
103, 47.9298, 822
104, 49.9058, 857
105, 50.0946, 891
106, 47.0785, 842
107, 46.9566, 852
108, 47.8566, 983
109, 47.9562, 841
110, 53.5171, 863
111, 67.0089, 1091
112, 51.3056, 845
113, 52.9644, 850
114, 47.5125, 862
115, 55.9422, 892
116, 47.3071, 798
117, 51.2711, 756
118, 48.2363, 841
119, 42.4381, 735
120, 49.2903, 898
121, 52.6836, 811
122, 53.3813, 845
123, 49.1206, 802
124, 61.0544, 1073
125, 45.4149, 797
126, 37.403, 663
127, 44.2414, 827
128, 49.8471, 979
129, 45.4761, 857
130, 47.1293, 899
131, 47.0532, 873
132, 49.7025, 914
133, 47.9624, 758
134, 47.3024, 824
135, 55.0417, 849
136, 50.5237, 829
137, 48.0753, 867
138, 57.1989, 1029
139, 44.7542, 835
140, 45.5361, 649
201, 56.9086, 904
202, 49.0918, 1098
203, 45.7519, 1089
204, 43.3035, 974
205, 44.1755, 1040
206, 41.4575, 1051
207, 41.6449, 993
208, 43.8459, 1049
209, 41.0804, 935
210, 41.3852, 1007
211, 40.5366, 901
212, 47.3602, 1024
213, 45.6013, 981
214, 46.8315, 957
215, 44.7794, 957
216, 46.3564, 1033
217, 43.7461, 1022
218, 44.4442, 896
219, 40.8317, 891
220, 46.0084, 1027
221, 41.838, 997
222, 44.313, 992
223, 47.6621, 993
224, 43.9806, 945
225, 45.9088, 999
226, 51.9002, 1092
227, 47.3733, 995
228, 46.6937, 1032
229, 43.2112, 953
230, 48.4606, 939
231, 44.5334, 904
232, 49.8908, 950
233, 45.5054, 932
234, 47.1907, 897
235, 40.6021, 825
236, 43.3172, 913
237, 46.6935, 923
238, 47.4421, 961
239, 46.8319, 1082
240, 57.3231, 1457
241, 44.5057, 920
242, 47.6618, 932
243, 43.1692, 909
244, 45.7639, 919
245, 46.1571, 928
246, 47.1989, 894
247, 46.1183, 873
248, 41.6196, 836
249, 38.9534, 785
250, 41.185, 819
251, 44.4782, 896
252, 42.6787, 884
253, 47.759, 921
254, 63.2186, 1372
255, 49.2264, 1031
256, 42.7361, 907
257, 47.2554, 972
258, 41.5181, 968
259, 44.7141, 906
260, 49.5101, 937
261, 48.5661, 1036
262, 48.0387, 878
263, 38.8691, 862
264, 48.802, 885
265, 48.078, 867
266, 45.2649, 808
267, 67.5572, 1076
