#bin	ch	sum	cnt
81671	132	12.33801238	1
81671	200	37.11299317	2
81671	207	35.91150367	2
81671	141	24.39845905	2
81671	140	25.64474045	2
81671	128	49.95748115	2
81671	187	10.66231578	1
81671	126	34.67577843	2
81671	206	25.96943828	2
81671	242	21.54336834	1
81671	22	16.44632791	1
81671	96	52.10047321	2
81671	95	72.80404541	2
81671	253	13.08848342	1
81671	2	14.74872474	1
81671	23	10.0968706	1
81671	97	36.75122302	3
81671	69	66.95923587	5
81671	49	12.43847845	1
81671	110	11.44591364	1
81671	102	54.31898503	2
81671	165	10.47510972	1
81671	28	12.66770915	1
81671	236	10.3998103	1
81671	6	16.09994079	1
81671	159	44.04308486	3
81671	10	28.85950587	2
81671	9	52.51367879	2
81671	127	46.44582373	3
81671	5	24.37706127	2
81671	133	98.24373037	2
81671	193	15.10333727	1
81671	123	65.9996769	5
81671	214	12.34519192	1
81671	129	10.95764467	1
81671	215	61.38557781	3
81671	179	54.72412844	5
81671	56	104.6452451	3
81671	55	59.25695774	4
81671	122	28.51155013	2
81671	259	28.98826844	2
81668	244	34.30127084	2
81667	138	12.8844203	1
81668	88	17.67844154	1
81670	151	40.5812097	2
81668	35	73.37556836	4
81670	83	409.0809335	13
81665	213	16.77129249	1
81667	103	20.66025363	1
81668	180	69.72834223	2
81666	257	111.2609296	2
81664	124	13.58227957	1
81664	7	68.59284457	2
81665	136	127.8789305	2
81671	197	10.43727025	1
81669	109	28.02582953	2
81661	204	52.59734126	2
81668	179	110.2456875	10
81663	95	45.92712106	2
81666	121	50.26667658	2
81665	76	23.39815614	1
81664	267	69.39924173	4
81661	150	15.69426222	1
81667	1	11.37773417	1
81667	82	21.29591379	2
81663	101	10.09892167	1
81661	190	32.11183562	2
81663	163	35.91198639	2
81661	114	68.49423873	3
81664	69	66.33810136	6
81663	210	73.16900883	2
81669	85	19.85136153	1
81669	249	44.02113234	2
81663	2	10.51570927	1
81661	195	32.50453112	2
81668	106	14.74379602	1
81668	111	20.62748604	1
81663	179	327.0383244	20
81665	103	14.42020769	1
81664	244	35.60759733	1
81664	222	62.53689387	2
81662	18	10.6586955	1
81668	24	10.53851405	1
81663	94	54.81002932	2
81663	34	10.50124238	1
81665	165	67.8556163	4
81670	74	29.95160224	2
81662	151	10.36248837	1
81666	258	10.01672717	1
81669	230	31.01646029	2
81666	64	10.53850048	1
81668	107	111.2067308	3
81663	14	29.03997097	1
81671	34	26.18449774	2
81664	8	13.46389139	1
81664	271	10.36199492	1
81663	8	13.05614818	1
81664	246	10.960867	1
81662	91	118.6500306	3
81664	180	15.45794681	1
81664	225	10.15951069	1
81662	204	25.58509958	2
81662	206	50.98271251	4
81662	251	21.8218062	2
81664	93	10.18643629	1
81665	169	207.8116443	3
81664	261	76.4491094	3
81671	239	11.09058087	1
