#cablenum, average light yield [p.e.], # of events over 10 p.e.
1, 71.6839, 1203
2, 57.8675, 1463
3, 49.7498, 1361
4, 57.9425, 1511
5, 57.8695, 1354
6, 52.2619, 1444
7, 56.8495, 1373
8, 42.9079, 1243
9, 59.468, 1518
10, 48.3001, 1362
11, 56.8462, 1520
12, 55.9357, 1413
13, 56.5173, 1387
14, 64.7666, 1514
15, 48.4307, 1415
16, 48.2292, 1259
17, 47.1255, 1318
18, 52.2515, 1342
19, 53.7224, 1343
20, 43.8803, 1192
21, 46.4512, 1196
22, 48.4981, 1251
23, 45.9462, 1217
24, 55.1205, 1622
25, 44.8994, 1231
26, 51.7075, 1290
27, 52.171, 1311
28, 62.3643, 1714
29, 51.1244, 1328
30, 53.4276, 1325
31, 52.8841, 1318
32, 52.1646, 1330
33, 48.8183, 1267
34, 57.7984, 1408
35, 51.323, 1232
36, 50.5437, 1234
37, 47.4457, 1204
38, 54.7962, 1334
39, 46.2012, 1242
40, 49.341, 1237
41, 56.6596, 1427
42, 63.6563, 1408
43, 49.5615, 1218
44, 49.1549, 1186
45, 49.607, 1232
46, 60.6356, 1387
47, 60.6849, 1420
48, 46.7792, 1178
49, 47.7841, 1408
50, 47.2747, 1390
51, 48.9409, 1221
52, 52.1704, 1275
53, 47.9207, 1159
54, 51.0051, 1257
55, 52.0375, 1196
56, 67.7308, 1666
57, 50.0208, 1298
58, 50.6468, 1224
59, 55.5472, 1306
60, 52.1156, 1227
61, 48.903, 1223
62, 53.5704, 1238
63, 47.3076, 1177
64, 46.7031, 1151
65, 52.0187, 1211
66, 49.4892, 1320
67, 46.3279, 1104
68, 46.7892, 1231
69, 51.4155, 1316
70, 60.2246, 1432
71, 43.8108, 1223
72, 41.1238, 1166
73, 51.8364, 1304
74, 55.0811, 1269
75, 49.9584, 1201
76, 58.2436, 1333
77, 53.2395, 1292
78, 56.9541, 1343
79, 52.1675, 1239
80, 47.3218, 1171
81, 49.3756, 1219
82, 49.5165, 1225
83, 54.1189, 1263
84, 63.5535, 1578
85, 47.4425, 1215
86, 55.4741, 1314
87, 57.2247, 1265
88, 57.2113, 1339
89, 60.3975, 1454
90, 49.989, 1308
91, 48.7244, 1193
92, 47.3727, 1111
93, 42.2326, 991
94, 55.6349, 1181
95, 50.1302, 1225
96, 54.4062, 1215
97, 55.1064, 1306
98, 69.5193, 1560
99, 42.2342, 1045
100, 56.0171, 1228
101, 51.201, 1144
102, 58.0484, 1313
103, 47.748, 1129
104, 52.6892, 1207
105, 52.8039, 1189
106, 49.7103, 1227
107, 51.0225, 1250
108, 54.4506, 1281
109, 51.7087, 1157
110, 52.7003, 1176
111, 74.4578, 1378
112, 50.4159, 1197
113, 53.4107, 1214
114, 48.1835, 1165
115, 57.0463, 1225
116, 49.3648, 1173
117, 49.1213, 1136
118, 51.395, 1195
119, 43.3984, 1017
120, 50.0314, 1236
121, 53.6564, 1188
122, 51.9558, 1198
123, 52.3436, 1210
124, 63.931, 1465
125, 45.1711, 1064
126, 38.0741, 969
127, 46.3454, 1187
128, 52.6695, 1363
129, 46.9799, 1186
130, 48.4234, 1296
131, 48.9909, 1189
132, 52.9044, 1277
133, 50.1819, 1114
134, 48.4009, 1162
135, 56.0682, 1201
136, 52.1524, 1202
137, 49.2684, 1138
138, 57.7551, 1345
139, 47.8326, 1182
140, 46.4598, 959
201, 55.3482, 1237
202, 49.4452, 1550
203, 51.3683, 1554
204, 42.2578, 1420
205, 45.0012, 1479
206, 43.5048, 1462
207, 42.8618, 1357
208, 45.339, 1458
209, 43.393, 1366
210, 45.2759, 1388
211, 40.9269, 1310
212, 47.7189, 1398
213, 46.246, 1362
214, 47.301, 1445
215, 44.7648, 1399
216, 47.4721, 1408
217, 46.117, 1447
218, 44.481, 1369
219, 42.1363, 1330
220, 45.9937, 1340
221, 42.7522, 1304
222, 46.4066, 1366
223, 48.3731, 1353
224, 46.162, 1414
225, 48.9126, 1406
226, 52.7196, 1531
227, 50.8927, 1381
228, 48.082, 1351
229, 44.8336, 1275
230, 49.1672, 1352
231, 45.5318, 1267
232, 46.2139, 1282
233, 46.3376, 1306
234, 45.6284, 1295
235, 38.9313, 1191
236, 44.9045, 1281
237, 50.747, 1328
238, 49.0179, 1299
239, 47.8795, 1383
240, 58.8929, 2005
241, 45.5703, 1270
242, 47.0407, 1251
243, 46.8015, 1172
244, 45.9069, 1218
245, 48.1386, 1215
246, 46.5641, 1236
247, 47.414, 1259
248, 41.8252, 1236
249, 39.5524, 1126
250, 43.2378, 1224
251, 47.784, 1246
252, 42.7692, 1227
253, 48.4156, 1236
254, 63.794, 1772
255, 49.1795, 1303
256, 44.0834, 1139
257, 48.9237, 1242
258, 44.3548, 1294
259, 48.8277, 1231
260, 53.1751, 1284
261, 48.5853, 1396
262, 52.034, 1178
263, 41.4657, 1172
264, 50.0784, 1245
265, 48.8348, 1258
266, 48.2107, 1176
267, 70.3586, 1627
268, 46.6353, 1182
269, 45.7158, 1154
270, 53.0164, 1208
271, 56.0901, 1301
272, 45.402, 1121
273, 48.2324, 1171
274, 48.3814, 1145
275, 52.3145, 1240
276, 46.9238, 1092
277, 50.1439, 1159
278, 49.7738, 1175
279, 45.5602, 1139
280, 49.0824, 1312
281, 48.0239, 1209
282, 50.8759, 1287
283, 44.8257, 1079
284, 48.5131, 1271
285, 45.3292, 1132
286, 47.1164, 1143
287, 46.7995, 1112
288, 49.3641, 1179
289, 46.6325, 1150
290, 46.5925, 1206
291, 49.6579, 1226
292, 47.2898, 1210
293, 53.3749, 1223
294, 67.6733, 1582
295, 47.6065, 1079
296, 44.2515, 1078
297, 48.781, 1191
298, 46.0652, 1098
299, 48.139, 1177
300, 46.1941, 1122
301, 47.7859, 1161
302, 47.3656, 1080
303, 40.0626, 959
304, 46.1459, 1134
305, 47.9513, 1114
306, 48.2502, 1187
307, 57.3395, 1397
308, 53.5882, 1179
309, 51.37, 1281
310, 50.1595, 1231
311, 45.8777, 1193
312, 48.3404, 1174
313, 50.384, 1197
314, 47.9012, 1191
315, 53.4209, 1283
316, 43.6604, 1096
317, 46.5887, 1122
318, 47.0058, 1088
319, 45.2794, 1178
320, 52.4205, 1272
321, 63.4234, 1458
322, 48.6051, 1158
323, 44.9048, 1140
324, 48.3588, 1163
325, 50.0694, 1249
326, 45.7479, 1236
327, 55.792, 1306
328, 45.4686, 1188
329, 45.93, 1232
330, 47.4192, 1231
331, 48.0653, 1213
332, 49.8279, 925
