#time pot_increment
1764403990 42659324301681.75
1764403991 42697141657925.75
1764403993 42768982982745.6
1764403994 42650740629244.37
1764403995 42535786741503.73
1764403997 42590370094439.23
1764403998 42600507372747.88
1764403999 42588997742586.57
1764404001 42578873410993.66
1764404002 42678368920317.48
1764404004 42762121223481.64
1764404005 42384931611426.46
1764404006 42552436217754.8
1764404008 42505452586871.93
1764404009 42621260957841.73
1764404010 42417622068296.08
1764404012 42562314561751.69
1764404013 42559479231036.83
1764404014 42561796693127.83
1764404016 42544953016142.94
1764404017 42563311458852.14
1764404019 42521001592297.75
1764404020 42475843448312.91
1764404021 42597568468308.29
1764404023 42476879185560.47
1764404024 42536680064879.44
1764404025 42623099391455.6
1764404027 42569629456061.16
1764404028 42501387318175.98
1764404029 42567493247988.38
1764404031 42563725753751.08
1764404032 42565421773493.6
1764404033 42491742015060.09
1764404035 42617247476007.98
1764404036 42547348158527.25
1764404038 42703304294547.78
1764404039 42440511861462.56
1764404040 42264514209706.11
1764404042 42367220504496.62
1764404043 42516017106794.97
1764404044 42676025564795.38
1764404046 42592325048493.77
1764404047 42593995174805.06
1764404048 42487870947097.95
1764404050 42735606349949.44
1764404051 42632990682167.98
1764404053 42547477625683.12
1764404054 42658495711883.96
1764404055 42547102170931.04
1764405736 50010650668797.68
1764405738 50113926619074.28
1764405739 49984575983595.28
1764405740 49813174415873.77
1764405742 49883539815115.84
1764405743 49826755520529.72
1764405744 50010935496540.77
1764405746 49959278101328.89
1764405747 49880678590969.91
1764405748 50028245255287.08
1764405750 49936077586988.17
1764405751 50101666079408.55
1764405753 50079022273838.71
1764405754 49892628409461.7
1764405755 50010715402375.33
1764405757 49920955823176.5
1764405758 49993120815885.97
1764405759 50117771793605
1764405761 49961401362685.75
1764405762 49817213791138.72
1764405763 49672352990380.52
1764405765 49845735405587.52
1764405766 50058877184377.45
1764405767 50064185337770.26
1764405769 49964159013106.75
1764405770 50015182019254.61
1764405772 49878037460989.53
1764405773 49955963742137.06
1764405774 50034291371468.28
1764405776 49898778099367.94
1764405777 49868974760074.99
1764405778 49956261516595.69
1764405780 49877972727411.31
1764405781 49824373324861.08
1764405782 49922185761157.62
1764405784 49878658903338.06
1764405785 49764986740440.83
1764405787 49936362414731.3
1764405788 49982129054348.77
1764405789 49913084220096.92
1764405791 50027261304901.75
1764405792 49871499369615.58
1764405793 50070645748850.52
1764405795 50057181164635.05
1764405796 49771485991667.8
1764405797 50059187905551.47
1764405799 49918185226040.18
1764405800 49931157835063
1764405801 50003814802965.17
1764406943 49887413826504.02
1764406944 49694502737745.61
1764406945 49760599455819.34
1764406947 49853462506837.39
1764406948 49730775956173.47
1764406949 49835467791436.8
1764406951 49784024834434.37
1764406952 49790332659402.95
1764406953 49876242913574.11
1764406955 49816415322155.98
1764406956 49840059991209.14
1764406957 49802909611026.85
1764406959 49646142746320.81
1764406960 49945732183727.12
1764406962 50001019173123.5
1764406963 49940482112639.39
1764406964 49850444038447.52
1764406966 49881054403785
1764406967 49831533462979.92
1764406968 49949705210496.86
1764406970 49956683806218.55
1764406971 49944003659093.73
1764406972 49943655374279.66
1764406974 49886510865874.33
1764406975 49953046164825.45
1764406977 49842046504593.8
1764406978 50128143130309.55
1764406979 49966397082703.59
1764406981 49936521985307.05
1764406982 49923235564616.98
1764406983 49984133809353.05
1764406985 50052836213815.13
1764406986 49913857673508.72
1764406987 50027978997630.43
1764406989 49918359577218.05
1764406990 49560851665152.8
1764406991 49819536986046.23
1764406993 49929001613207.75
1764406994 50001122368624.09
1764406996 49965120038385.1
1764406997 49906582390722.95
1764406998 49972176030732.22
1764407000 49949021540306.17
1764407001 49798433506192.78
1764407002 49857500030794.69
1764407004 49985359255921.52
1764407005 49859680035742.74
1764407006 49851037412575.39
1764407008 49919533426036.35
1764407009 49906401798597.2
1764407011 49773614988320.82
1764407012 49942507324336.39
1764407013 49724726119956.27
1764407015 50044361283336.16
1764407016 49968293300025.75
1764407017 49962475653684.64
1764407019 49956748303406.62
1764407020 49965468323199.11
1764407021 49942520223774.1
1764407023 49967467736021.65
1764407024 49880448130220
1764407025 50009829488979.41
1764407027 49876268712449.43
1764407028 50013596124747.5
1764407030 49915418505453.74
1764407031 49809062642744.97
1764407032 49728970034914.6
1764407034 50063400853179.25
1764407035 50053700476131.55
1764407036 50005650071208.59
1764407038 49887310631003.2
1764407039 49965313529948.2
1764407040 50011403220361.88
1764407042 49858583583550.13
1764407043 49971918041981.05
1764407045 49906272804221.62
1764407046 49958141442663.39
1764407047 49991667080889.88
1764407049 49965016842884.27
1764407050 49902531967328.3
1764407051 50073617207729.4
1764407053 49851179306388.91
1764407054 49915831287455.76
1764407055 49881570381287.64
1764407057 49901848297137.42
1764407058 49889426138763.92
1764407059 49939011576757.17
1764407061 49931891087221.83
1764407062 49834848618433.59
1764407064 50013686420810.41
1764407065 49899952079815.3
1764407066 50005198590893.75
1764407068 49967132350644.99
1764407069 49959018604417.59
1764407070 49969105964592.2
1764407072 50095120570147.52
1764407073 49844381302792.95
1764407074 50050475616741.17
1764407076 50102008869806.03
1764407077 49773898775947.38
1764407079 49769435570550.57
1764407080 49839092533391.91
1764407081 49952065807570.83
1764407083 49817718165349.38
1764407084 49971234371789.77
1764407085 49891348154960.45
1764407087 49932278070348.73
1764407088 49955574454588.31
1764407089 49861705247440.12
1764407091 49883905179486.54
1764407092 49836551344192.02
1764407093 49859099561052.48
1764407095 49825109543073.21
1764407096 49893850645847.98
1764407098 49927724568889.05
1764407099 49910800506805.94
1764407100 49913148204442.5
1764407102 49938018320064.61
1764407103 49759567500814.6
1764407104 49899964979253.16
1764407106 49776285171896.67
1764407107 49939398559883.98
1764407108 49906685586223.2
1764407110 49821188114054.33
1764407111 49753298374158.92
1764407113 49649909382089.48
1764407114 49715464323785.49
1764407115 49890058211204.55
1764407117 49814751294710.17
1764407118 49847064385806.22
1764407119 50020407027780.92
1764407121 49840085790084.48
1764407122 49937579739187.12
1764407123 49923919234807.67
1764407125 49889490635951.42
1764407126 49742153260104.34
1764407127 49730156783170.25
1764407129 50016292107198.3
1764407130 50072907738663.22
1764407132 49800265226326.59
1764407133 49599382285153.81
1764407134 49896959410300.73
1764407136 49774014870885.56
1764407137 49722107534131.08
1764407138 49885453111994.17
1764407140 49679423295234.21
1764407141 49607986210008.62
1764407142 49753762753911.17
